Movie,Cast,Release_year
Teri Yaad,"Asha Posley, Nasir Khan, Najma, Kiran, Rani, Ghulam Mohammad, Sardar Mohammad, Ghulam Qadir, Nazar, Jahangir",1947
Shahida,"Shamim, Nasir Khan, Shakir, Hamaliya Wala",1949
Hichkolay,"Najma, Sudhir, Nazar, Ajmal, M. Ismael, Zahoor Shah, Maya Devi, Akhtari, Ashiq Hussain Samrat, Mohni Das, Nafees Begum",1949
Sachai,"Sawarn Lata, Nazir Ahmed Khan, Majeed",1949
2 Kinaray,"Akhtari, Suresh, Kalavati, Zarif",1949
Pheray,"Sawarn Lata, Nazir Ahmed Khan, M. Ismael, Nazar, Zeenat, Maya Devi, Alam Siaposh",1949
Mundri,"Ragni, Ilyas Kashmiri, Noor Mohammad Charlie, Zeenat, Ghulam Mohammad, Saleem Raza, Maya Devi, G.N. Butt, Jameel, Qamar Sarhadi, Cukko, M.J. Rana, Mirza Sultan Baig (Nizam Din)",1949
Jahad,"Yasmin, Zahoor Raja, Nazar, Ajmal, Nayab Sarhadi, Shakir, Ashiq Hussain, Nawazish Ali",1950
Bell,"M. Ismail, Santosh, Sabiha, Shahina, Anu Radha, Shakir, Bilal, M.A. Mirza, Reshma, Nadra, Shaheda, Rani Momtaz, Salma",1950
Ghalt Fehmi,"Asha Poslay, Jahangir Khan, Nazar, Rani Kiran, Sheikh Iqbal, Saleem Raza, Ghulam Qadir, Parveen Begum, Irshad Begum, Zubaida, Mehpara",1950
Hamari Basti,"Murtaza Gilani, Najma, Shah Nawaz",1950
Do Ansoo,"Sabiha Khanum, Santosh Kumar, Shamim, Ajmal, Allauddin",1950
Judai,"Shahina, Sadiq Ali, Nazar",1950
Beqarar,"Ragni, S. Gul, Shammi, Noor Mohammed Charlie, Majeed",1950
Kundan,"Ragni, Shakir, Hamaliawala",1950
Anokhi Dastan,"Nazir, Nazar",1950
Amanat,"Darpan, Nazar",1950
Akaely,"Santosh Kumar, Nazar, Ragni",1951
Buut Tarash,"Manorma, Pran, Arshad",1951
Director,"Zaib, S. Gul, Rakhshi",1951
Eid,"Yasmin, Najmul Hassan, Suresh",1951
Ghairat,"Sabiha Khanum, Masood, Allauddin, Ghulam Mohammed",1951
Humwatan,"Sahira, Farraukh, Ajmal",1951
Pinjra,"Sabiha Khanum, Masood, Azad, Masood",1951
Bheegi Palkain,"Sawarn Lata, Nazir",1952
Dopatta,"Noor Jehan, Ajay Kumar, Sudhir, Yasmin",1952
Harjai,"Najma, Masood, Asif",1952
Khanabadosh,"Manorma, Pran, Ajmal",1952
Naveli,"Gulshan Ara, Rehan",1952
Shola,"Asha Posley, Masood, Arshad",1953
Aaghosh,"Gulshan Ara, M. Ismail, Santosh Kumar, Sabiha Khanum",1953
Awaaz,"Gulshan Ara, Santosh Kumar",1953
Barkha,"Nazar, Asha Posley, Sabiha Khanum",1953
Ghulam,"Sabiha Khanum, Santosh Kumar, Shammi",1953
Gulnar,"Noor Jehan, Santosh Kumar, Bibbo, Zarif, Shahnawaz",1953
Ilzam,"Shammi, Rafiq Anwar, Naeem Hashmi",1953
Mehbooba,"Shammi, Santosh Kumar, Asha Posley",1953
Sailaab,"Sabiha Khanum, Masood, Hamaliawala",1953
Tarrap,"Shammi, Sudhir, Allauddin",1953
Deewar,"Gulshan Ara, Sudhir, Allauddin",1954
Gumnaam,"Sabiha Khanum, Sudhir, Ragni, M. Ismael, Asif Jah, Nasreen, Ghulam Mohammad, Himalya Wala",1954
Mujrim,"Gulshan Ara, Yousuf, Allauddin",1954
Perwaz,"Sabiha Khanum, Yousuf Khan, Asha Posley, Nazar",1954
Raat Ki Baat,"Sabiha Khanum, Santosh Kumar, Allauddin",1954
Ruhi,"Shammi, Santosh Kumar, Hamalia Wala",1954
Sassi,"Shah Nawaz, Nazar, Asha Posley, Sabiha Khanum, Sudhir",1954
Humari Zaban,"Beena, Sheikh Hassan",1955
Ilteja,"Ragni, S. Gul, Salim Raza",1955
Intekhaab,"Jamila Razzaq, Masood",1955
Inteqaam,"Sabiha, Santosh, M. Ismael",1955
Jallan,"Nadra, Inayat Bhatti, Zarif",1955
Jheel Kinaray,"Gulshan Ara, Sudhir, Talish",1955
Khatoon,"Sawarn Lata, Nazir, Naeem Hashmi",1955
Khizaan Ke Baad,"Shammi, Sudhir, Allauddin",1955
Mehfil,"Sabiha, Sudhir, Allauddin",1955
Naukar,"Sawarn Lata, Nazir, Shaad, Ragni, Zeenat, Asha Posley, ChunChun, A. Shah, G.N. Butt and Agha Salim Raza",1955
Nazrana,"Ragni, Santosh, Nazar, Azad",1955
Qatil,"Sabiha, Santosh, Aslam Pervez, Musarrat Nazir, Nayyar Sultana, Akmal",1955
Shararay,"Sabiha, Ragni, S. Gul",1955
Sohni,"Sabiha, Sudhir, Shammi",1955
Toofaan,"Sabiha, Sudhir, Asha, Zarif",1955
Anokhi,"Sheela Ramani, Shaad, Lehri",1956
Baaghi,"Allauddin, Musarrat Nazir, Sultan Rahi, Sudhir, Agha Talish",1956
Chhoti Baigum,"Sabiha Khanum, Sudhir, Naeem Hashmi",1956
Darbar-e-Habib,"Yasmin, Talish, Majeed",1956
Funkar,"Khursheed, Pervez, Jameela",1956
Hameeda,"Sabiha Khanum, Santosh Kumar, Ejaz Durrani",1956
Haqeeqat,"Yasmin, Masood, Zeenat",1956
Hatim,"Sabiha Khanum, Sudhir, Nazar, Ilyas",1956
Intezar,"Noor Jehan, Santosh, Asha Poslay, Ghulam Mohammad",1956
Kanwari Bewah,"Shamim Ara, Ayyaz, Nazar",1956
Karnaama,"Klawati, Luddan, Sawan",1956
Lakht-e-Jigar,"Noor Jehan, Santosh Kumar, Habib",1956
Mandi,"Khursheed, Ayyaz, Nighat",1956
Mirza Saheban,"Musarrat Nazir, Sudhir",1956
Miss 56,"Meena Shorey, Santosh Kumar, Aslam Pervaiz",1956
Mukh-o-Mukhush,"Abdul Jabbar Khan, Ahmed, Purnima Sen, Nazma (Peary), Zaharat Ara, Ali Mansur, Fafiq, Narul Anarn Khan, Saifuddin, Bilkis Bad",1956
